t2,cos_sim,t1
m10k_t8,0.034097681855974254,m15k_t18
m10k_t9,0.35199616525967681,m15k_t18
m10k_t10,0.04227960639643942,m15k_t18
m15k_t11,0.24390242095522033,m15k_t18
m15k_t12,0.043419551792295008,m15k_t18
m15k_t13,0.072813909299314014,m15k_t18
m15k_t14,0.027808437990451313,m15k_t18
m15k_t15,0.0044008318472793777,m15k_t18
m15k_t16,0.04295416097186254,m15k_t18
m15k_t17,0.024173320200236912,m15k_t18
m15k_t18,0.99999999999999978,m15k_t18
m15k_t19,0.18512749730825026,m15k_t18
m15k_t20,0.050409892424585448,m15k_t18
m15k_t21,0.017514650932019159,m15k_t18
m15k_t22,0.027806162046143182,m15k_t18
m15k_t23,0.019554427568378406,m15k_t18
m15k_t24,0.080963621203240424,m15k_t18
m15k_t25,0.1361559536273978,m15k_t18
m10k_t1,0.099933922879354153,m15k_t19
m10k_t2,0.18683562726458472,m15k_t19
m10k_t3,0.086227704167206307,m15k_t19
m10k_t4,0.1016965664759277,m15k_t19
m10k_t5,0.15336462537990261,m15k_t19
m10k_t6,0.093560888175826806,m15k_t19
m10k_t7,0.18073392271793243,m15k_t19
m10k_t8,0.23532387379750866,m15k_t19
m10k_t9,0.093711842777254584,m15k_t19
m10k_t10,0.11357862412110335,m15k_t19
m15k_t11,0.17456412511844144,m15k_t19
m15k_t12,0.017445537870764857,m15k_t19
m15k_t13,0.083464539001657928,m15k_t19
m15k_t14,0.083441925866164973,m15k_t19
m15k_t15,0.050723063889807074,m15k_t19
m15k_t16,0.050325140811332859,m15k_t19
m15k_t17,0.026176852364977115,m15k_t19
m15k_t18,0.18512749730825026,m15k_t19
m15k_t19,1.0,m15k_t19
m15k_t20,0.062266929112810482,m15k_t19
m15k_t21,0.02308911138860209,m15k_t19
m15k_t22,0.002244492761090555,m15k_t19
m15k_t23,0.048861349120125304,m15k_t19
m15k_t24,0.052189560489052572,m15k_t19
m15k_t25,0.10606411395225507,m15k_t19
m10k_t1,0.20881043842354435,m15k_t20
m10k_t2,0.11460753140722119,m15k_t20
m10k_t3,0.53482701284423262,m15k_t20
m10k_t4,0.04769963189979376,m15k_t20
m10k_t5,0.052251145580650298,m15k_t20
m10k_t6,0.14844273169608813,m15k_t20
m10k_t7,0.2208620132865324,m15k_t20
m10k_t8,0.034146252146562979,m15k_t20
m10k_t9,0.14117973790848368,m15k_t20
m10k_t10,0.15836607419828214,m15k_t20
m15k_t11,0.096716417224759599,m15k_t20
m15k_t12,0.21143816778188146,m15k_t20
m15k_t13,0.014594704291313812,m15k_t20
m15k_t14,0.26939708711166244,m15k_t20
m15k_t15,0.13042103968413227,m15k_t20
m15k_t16,0.034582916860050904,m15k_t20
m15k_t17,0.057457059040477446,m15k_t20
m15k_t18,0.050409892424585448,m15k_t20
m15k_t19,0.062266929112810482,m15k_t20
m15k_t20,0.99999999999999989,m15k_t20
m15k_t21,0.050347956046567201,m15k_t20
m15k_t22,0.067631181428791556,m15k_t20
m15k_t23,0.059487179651475118,m15k_t20
m15k_t24,0.073686894001790001,m15k_t20
m15k_t25,0.10822840029304698,m15k_t20
m10k_t1,0.04657988315326831,m15k_t21
m10k_t2,0.13904792592456613,m15k_t21
m10k_t3,0.079848682128161666,m15k_t21
m10k_t4,0.03260676292442282,m15k_t21
m10k_t5,0.082296973378323396,m15k_t21
m10k_t6,0.17050763147042833,m15k_t21
m10k_t7,0.19443885969509672,m15k_t21
m10k_t8,0.052263432808613126,m15k_t21
m10k_t9,0.050794094019743746,m15k_t21
m10k_t10,0.27465753850938046,m15k_t21
m15k_t11,0.090146865898845199,m15k_t21
m15k_t12,0.069360133703483401,m15k_t21
m15k_t13,0.059277719763631498,m15k_t21
m15k_t14,0.077840135351629147,m15k_t21
m15k_t15,0.035679437104987444,m15k_t21
m15k_t16,0.01878659798629144,m15k_t21
m15k_t17,0.08769315479151861,m15k_t21
m15k_t18,0.017514650932019159,m15k_t21
m15k_t19,0.02308911138860209,m15k_t21
m15k_t20,0.050347956046567201,m15k_t21
m15k_t21,1.0000000000000004,m15k_t21
m15k_t22,0.049551694765381286,m15k_t21
m15k_t23,0.017970842806735183,m15k_t21
m15k_t24,0.015637592173402635,m15k_t21
m15k_t25,0.036916124457602,m15k_t21
m10k_t1,0.04792667602377456,m15k_t22
m10k_t2,0.12831629925990332,m15k_t22
m10k_t3,0.046232655199901149,m15k_t22
m10k_t4,0.91816223979188472,m15k_t22
m10k_t5,0.26967499760214275,m15k_t22
m10k_t6,0.01429188747441501,m15k_t22
m10k_t7,0.025586670131603415,m15k_t22
m10k_t8,0.12889162164241452,m15k_t22
m10k_t9,0.076712355881203093,m15k_t22
m10k_t10,0.10920860782669106,m15k_t22
m15k_t11,0.036650948175492346,m15k_t22
m15k_t12,0.045802603728152889,m15k_t22
m15k_t13,0.018720829392866373,m15k_t22
m15k_t14,0.056808225324092958,m15k_t22
m15k_t15,0.071479578598777863,m15k_t22
m15k_t16,0.054731161821863807,m15k_t22
m15k_t17,0.0087619240332270105,m15k_t22
m15k_t18,0.027806162046143182,m15k_t22
m15k_t19,0.002244492761090555,m15k_t22
m15k_t20,0.067631181428791556,m15k_t22
m15k_t21,0.049551694765381286,m15k_t22
m15k_t22,1.0000000000000007,m15k_t22
m15k_t23,0.23496659446152923,m15k_t22
m15k_t24,0.0071048303790374034,m15k_t22
m15k_t25,0.011985445431771938,m15k_t22
m10k_t1,0.075901564900048832,m15k_t23
m10k_t2,0.048240796630314893,m15k_t23
m10k_t3,0.033743328339625303,m15k_t23
m10k_t4,0.22320181742319051,m15k_t23
m10k_t5,0.64579255899405763,m15k_t23
m10k_t6,0.012717976015479821,m15k_t23
m10k_t7,0.08142669030291963,m15k_t23
m10k_t8,0.12578754014846893,m15k_t23
m10k_t9,0.17145983927173736,m15k_t23
m10k_t10,0.18917307400206701,m15k_t23
m15k_t11,0.11652553982062561,m15k_t23
m15k_t12,0.036207764164702463,m15k_t23
m15k_t13,0.030067984822987018,m15k_t23
m15k_t14,0.066423383200696517,m15k_t23
m15k_t15,0.017381520002609341,m15k_t23
m15k_t16,0.029116291909759465,m15k_t23
m15k_t17,0.073812539686387152,m15k_t23
m15k_t18,0.019554427568378406,m15k_t23
m15k_t19,0.048861349120125304,m15k_t23
m15k_t20,0.059487179651475118,m15k_t23
m15k_t21,0.017970842806735183,m15k_t23
m15k_t22,0.23496659446152923,m15k_t23
m15k_t23,1.0000000000000002,m15k_t23
m15k_t24,0.055734991341396971,m15k_t23
m15k_t25,0.11036734824361276,m15k_t23
m10k_t1,0.13507541465591802,m15k_t24
m10k_t2,0.0059628564341029748,m15k_t24
m10k_t3,0.010179025664745156,m15k_t24
m10k_t4,0.012906437173800642,m15k_t24
m10k_t5,0.013395504687292174,m15k_t24
m10k_t6,0.36705807214945207,m15k_t24
m10k_t7,0.10859581716884109,m15k_t24
m10k_t8,0.045097067233094951,m15k_t24
m10k_t9,0.50335527153791015,m15k_t24
m10k_t10,0.03010472092105097,m15k_t24
m15k_t11,0.057516309546457645,m15k_t24
m15k_t12,0.047791404691003646,m15k_t24
m15k_t13,0.014023016681215082,m15k_t24
m15k_t14,0.011919422223852994,m15k_t24
m15k_t15,0.09342319840709748,m15k_t24
m15k_t16,0.024934657567559693,m15k_t24
m15k_t17,0.0068232647369153307,m15k_t24
m15k_t18,0.080963621203240424,m15k_t24
m15k_t19,0.052189560489052572,m15k_t24
m15k_t20,0.073686894001790001,m15k_t24
m15k_t21,0.015637592173402635,m15k_t24
m15k_t22,0.0071048303790374034,m15k_t24
m15k_t23,0.055734991341396971,m15k_t24
m15k_t24,1.0000000000000002,m15k_t24
m15k_t25,0.016212873652561705,m15k_t24
m10k_t1,0.12883000843020714,m15k_t25
m10k_t2,0.11119727908981532,m15k_t25
m10k_t3,0.18840731262450888,m15k_t25
m10k_t4,0.06485239247350541,m15k_t25
m10k_t5,0.073031070318030744,m15k_t25
m10k_t6,0.36260546246968123,m15k_t25
